710600010	PORT RADIUM,NW	lat,lon (.1deg)	661	-1180	R1A	cc=403	0
710720000	MOULD BAY, N.	lat,lon (.1deg)	762	-1193	R1A	cc=403	0
710730010	FORT RELIANCE,NW	lat,lon (.1deg)	627	-1092	R1A	cc=403	0
710810000	HALL BEACH,N.	lat,lon (.1deg)	688	-812	R1B	cc=403	10
710810010	MACKAR INLET,NW	lat,lon (.1deg)	683	-857	R1A	cc=403	0
710820000	ALERT,N.W.T.	lat,lon (.1deg)	825	-623	R1A	cc=403	0
710830010	CHESTERFIELD,NW	lat,lon (.1deg)	633	-907	R1A	cc=403	8
710900000	CLYDE,N.W.T.	lat,lon (.1deg)	705	-685	R1A	cc=403	8
710910000	LONGSTAFF BLU	lat,lon (.1deg)	689	-751	R1A	cc=403	0
710920000	DEWAR LAKES,N	lat,lon (.1deg)	687	-712	R1A	cc=403	0
710930000	CAPE HOOPER,	lat,lon (.1deg)	685	-668	R1A	cc=403	0
710940000	CAPE DYER,N.W	lat,lon (.1deg)	666	-616	R1A	cc=403	0
710940030	BROUGHTON ISLAND,NW	lat,lon (.1deg)	675	-638	R1A	cc=403	0
710950000	POND INLET, N	lat,lon (.1deg)	727	-780	R1A	cc=403	0
710950010	POND INLET,NW	lat,lon (.1deg)	727	-780	R1A	cc=403	0
710950030	ARCTIC BAY,NW	lat,lon (.1deg)	730	-851	R1A	cc=403	0
714960010	CONTWOYTO LAKE,NW	lat,lon (.1deg)	655	-1104	R1A	cc=403	0
719090000	FROBISHER BAY	lat,lon (.1deg)	638	-686	R1A	cc=403	0
719090010	CAPE HOPES ADVANCE,QU	lat,lon (.1deg)	611	-695	R1A	cc=403	0
719090020	RESOLUTION ISLAND CANADA	lat,lon (.1deg)	616	-647	R1A	cc=403	0
719090030	LAKE HARBOUR,NW	lat,lon (.1deg)	628	-699	R1A	cc=403	0
719100000	CAPE DORSET,	lat,lon (.1deg)	642	-765	R1B	cc=403	0
719100010	NOTTINGHAM ISLAND,NW	lat,lon (.1deg)	631	-779	R1A	cc=403	0
719110000	SHEPHERD BAY,	lat,lon (.1deg)	688	-934	R1A	cc=403	0
719110010	PELLY BAY,NW	lat,lon (.1deg)	684	-897	R1A	cc=403	0
719110020	GLADMAN POINT A,NW	lat,lon (.1deg)	687	-978	R1A	cc=403	0
719150000	CORAL HARBOUR	lat,lon (.1deg)	642	-834	R1A	cc=403	0
719170000	EUREKA,N.W.T.	lat,lon (.1deg)	800	-859	R1A	cc=403	0
719170010	ISACHSEN,NW	lat,lon (.1deg)	788	-1035	R1A	cc=403	0
719240000	RESOLUTE,N.W.	lat,lon (.1deg)	747	-950	R1A	cc=403	0
719250000	CAMBRIDGE BAY	lat,lon (.1deg)	691	-1051	R1A	cc=403	0
719250010	JENNY LIND ISLAND A,NW	lat,lon (.1deg)	687	-1017	R1A	cc=403	0
719250020	BYRON BAY A,NW	lat,lon (.1deg)	688	-1091	R1A	cc=403	0
719260000	BAKER LAKE, N	lat,lon (.1deg)	643	-961	R1A	cc=403	0
719260010	ENNADAI LAKE,NW	lat,lon (.1deg)	611	-1009	R1A	cc=403	0
719350000	HAY RIVER,N.W	lat,lon (.1deg)	608	-1158	R2C	cc=403	35
719350010	HAY RIVER PARADISE GDNS,NW	lat,lon (.1deg)	607	-1160	R1A	cc=403	0
719350020	FORT RESOLUTION,NW	lat,lon (.1deg)	612	-1137	R1B	cc=403	9
719350030	FORT RESOLUTION A,NW	lat,lon (.1deg)	612	-1137	R2B	cc=403	11
719350040	FORT PROVIDENCE,NW	lat,lon (.1deg)	613	-1177	R1A	cc=403	0
719360000	YELLOWKNIFE,N	lat,lon (.1deg)	625	-1144	R3C	cc=403	36
719360010	SNARE RAPIDS,NW	lat,lon (.1deg)	635	-1160	R1A	cc=403	0
719370000	LADY FRANKLIN	lat,lon (.1deg)	685	-1132	R1A	cc=403	0
719380000	COPPERMINE,N.	lat,lon (.1deg)	678	-1151	R1A	cc=403	8
719380010	CAPE YOUNG A,NW	lat,lon (.1deg)	689	-1169	R1A	cc=403	0
719460000	FORT SIMPSON,	lat,lon (.1deg)	618	-1212	R1A	cc=403	0
719460010	WRIGLEY A,NW	lat,lon (.1deg)	632	-1234	R1A	cc=403	0
719480000	CAPE PARRY,N.	lat,lon (.1deg)	702	-1247	R1A	cc=403	0
719480010	CLINTON POINT,NW	lat,lon (.1deg)	696	-1208	R1A	cc=403	0
719480020	NICHOLSON PENINSULA,NW	lat,lon (.1deg)	699	-1290	R1A	cc=403	0
719480030	HOLMAN,NW	lat,lon (.1deg)	707	-1178	R1A	cc=403	0
719490020	CARMACKS,YT	lat,lon (.1deg)	621	-1363	R2B	cc=403	11
719530000	WATSON LAKE,Y	lat,lon (.1deg)	601	-1288	R1A	cc=403	0
719530030	TUCHITUA,YT	lat,lon (.1deg)	609	-1292	R1A	cc=403	0
719530040	TUNGSTEN,NW	lat,lon (.1deg)	620	-1282	R1A	cc=403	0
719570000	INUVIK,N.W.T.	lat,lon (.1deg)	683	-1335	R1A	cc=403	0
719570020	FORT MCPHERSON,NW	lat,lon (.1deg)	674	-1349	R1B	cc=403	0
719570030	AKLAVIK A,NW	lat,lon (.1deg)	682	-1350	R1B	cc=403	0
719570040	TUKTOYAKTUK,NW	lat,lon (.1deg)	695	-1330	R1B	cc=403	0
719640000	WHITEHORSE, Y	lat,lon (.1deg)	607	-1351	S3C	cc=403	60
719640030	CARCROSS,YT	lat,lon (.1deg)	602	-1347	R1B	cc=403	0
719640040	HAINES JUNCTION,YT	lat,lon (.1deg)	608	-1376	R1A	cc=403	0
719640060	BURWASH A,YT	lat,lon (.1deg)	614	-1390	R1A	cc=403	0
719640080	AISHIHIK A,YT	lat,lon (.1deg)	617	-1375	R1A	cc=403	0
719650010	MAYO A,YT	lat,lon (.1deg)	636	-1359	R1A	cc=403	8
719660000	DAWSON,Y.T.	lat,lon (.1deg)	641	-1391	R1A	cc=403	0
719660010	SNAG A,YT	lat,lon (.1deg)	624	-1404	R1A	cc=403	0
719680000	SHINGLE POINT	lat,lon (.1deg)	690	-1372	R1A	cc=403	0
719680010	OLD CROW A,YT	lat,lon (.1deg)	676	-1398	R1A	cc=403	9
719680020	KOMAKUK BEACH A,YT	lat,lon (.1deg)	696	-1402	R1A	cc=403	0
700260000	BARROW/W. POS	lat,lon (.1deg)	713	-1568	R3C	cc=425	40
700860000	BARTER ISLAND	lat,lon (.1deg)	701	-1436	R2B	cc=425	15
